institution,year
ASU,1986
ASU,1985
ASU,1995
ASU,1996
ASU,1998
ASU,1999
ASU,1987
ASU,2011
ASU,1980
ASU,1994
ASU,1979
ASU,1988
ASU,2005
ASU,1985
ASU,1991
ASU,1985
ASU,1983
ASU,1990
ASU,2009
ASU,1979
ASU,1985
ASU,2005
ASU,1986
ASU,1984
ASU,2014
ASU,2015
ASU,2013
ASU,1985
ASU,2009
ASU,1993
ASU,2004
ASU,2015
ASU,2013
ASU,1992
ASU,2009
ASU,2007
ASU,2014
ASU,2015
ASU,1983
ASU,2013
ASU,2005
ASU,2005
ASU,1980
ASU,2013
ASU,2005
ASU,1990
ASU,2014
ASU,2008
ASU,2018
ASU,2015
ASU,2016
ASU,2024
ASU,2020
ASU,2018
ASU,2019
ASU,2020
MSU,1997
MSU,2003
MSU,2016
MSU,1987
MSU,2001
MSU,2017
MSU,1992
MSU,2007
MSU,2017
MSU,2005
MSU,1993
MSU,2019
MSU,2008
MSU,2013
MSU,1995
MSU,2017
MSU,2011
MSU,1999
MSU,2017
MSU,2005
MSU,2003
MSU,2017
MSU,1993
MSU,2016
MSU,1986
MSU,1981
MSU,2013
MSU,2015
MSU,1992
MSU,1980
MSU,2020
MSU,1991
MSU,2000
MSU,2015
MSU,2013
MSU,2006
MSU,2009
MSU,1992
MSU,2014
MSU,2020
MSU,2017
MSU,1996
MSU,2015
MSU,1981
MSU,2015
MSU,2016
MSU,2014
MSU,2001
MSU,2010
MSU,1996
MSU,2009
MSU,1993
MSU,1982
MSU,2004
MSU,1986
MSU,2002
OSU,2007
OSU,2009
OSU,1984
OSU,2004
OSU,2003
OSU,2019
OSU,1999
OSU,1985
OSU,1995
OSU,1997
OSU,1978
OSU,1976
OSU,2006
OSU,2009
OSU,2011
OSU,2008
OSU,2002
OSU,1992
OSU,2021
OSU,1989
OSU,2008
OSU,2015
OSU,2006
OSU,2011
OSU,2009
OSU,1983
OSU,2004
OSU,2002
OSU,2000
OSU,1992
OSU,2006
OSU,2024
OSU,2021
OSU,2015
OSU,2019
OSU,2011
OSU,2009
OSU,2021
OSU,2010
OSU,2019
OSU,2006
OSU,1996
OSU,2022
OSU,1995
OSU,1996
OSU,1993
OSU,1994
OSU,2012
OSU,2024
OSU,2010
OSU,1980
OSU,1984
OSU,2012
OSU,2004
OSU,1990
OSU,1999
OSU,2010
OSU,1994
OSU,1984
OSU,2009
OSU,1991
OSU,2009
OSU,2005
OSU,2007
OSU,2006
OSU,2004
OSU,2021
OSU,2002
OSU,1986
OSU,2023
OSU,2023
OSU,2017
OSU,2004
OSU,2012
OSU,1996
OSU,2012
OSU,2020
OSU,2014
OSU,2013
OSU,2019
OSU,2011
Purdue,1985
Purdue,1996
Purdue,1980
Purdue,2001
Purdue,1979
Purdue,1995
Purdue,1990
Purdue,2004
Purdue,2020
Purdue,2014
Purdue,2016
Purdue,1991
Purdue,2010
Purdue,2019
Purdue,2001
Purdue,2017
Purdue,1991
Purdue,2015
Purdue,2016
Purdue,2025
Purdue,1999
Purdue,1997
Purdue,2008
Purdue,2010
Purdue,2015
Purdue,2009
Purdue,2007
Purdue,2013
Purdue,2019
Purdue,2005
Purdue,2014
Purdue,1988
Purdue,2006
Purdue,2012
Purdue,2022
Purdue,2019
Purdue,2015
Purdue,2019
Purdue,2008
Purdue,2000
Purdue,2017
Purdue,1988
Purdue,2018
Purdue,2011
Purdue,1988
Purdue,1992
Purdue,2009
Purdue,1996
Purdue,2002
Purdue,2002
Purdue,2014
Purdue,1980
Purdue,2017
Purdue,1999
Purdue,1996
Purdue,2014
Purdue,2016
Purdue,1993
Purdue,1990
Purdue,2017
Purdue,1989
Purdue,1996
Purdue,2011
Purdue,2015
Purdue,2021
Purdue,2020
Purdue,2015
Purdue,2017
Purdue,2004
Stony Brook,2021
Stony Brook,2007
Stony Brook,1987
Stony Brook,2021
Stony Brook,1998
Stony Brook,2018
Stony Brook,1995
Stony Brook,2017
Stony Brook,2012
Stony Brook,2002
Stony Brook,2012
Stony Brook,2006
Stony Brook,2003
Stony Brook,1995
Stony Brook,1968
Stony Brook,2006
Stony Brook,1980
Stony Brook,1980
Stony Brook,1984
Stony Brook,1990
Stony Brook,2008
Stony Brook,1974
Stony Brook,1954
Stony Brook,1997
Stony Brook,2016
Stony Brook,2015
Stony Brook,2004
Stony Brook,2008
Stony Brook,2005
Stony Brook,2000
Stony Brook,1965
Stony Brook,1989
Stony Brook,1975
Stony Brook,2003
Stony Brook,1997
Stony Brook,1974
Stony Brook,2002
UC Davis,2000
UC Davis,1993
UC Davis,1988
UC Davis,2001
UC Davis,2013
UC Davis,1995
UC Davis,1992
UC Davis,2010
UC Davis,2009
UC Davis,1991
UC Davis,1991
UC Davis,2018
UC Davis,1981
UC Davis,2004
UC Davis,2012
UC Davis,1988
UC Davis,2002
UC Davis,1998
UC Davis,1991
UC Davis,2023
UC Davis,2006
UC Davis,2010
UC Davis,1985
UC Davis,2000
UC Davis,2011
UC Davis,1987
UC Davis,1987
UC Davis,2007
UC Davis,1997
UC Davis,1994
UC Davis,2001
UC Davis,1993
UC Davis,2015
UC Davis,1997
UC Davis,1995
UC Davis,1994
UC Davis,1999
UC Davis,2018
UC Davis,1997
UC Davis,2010
UC Davis,2002
UC Davis,2019
UC Davis,2005
UC Davis,2020
UC Davis,2021
UC Davis,2018
UC Davis,2008
UC Davis,2021
UC Davis,2015
UC Davis,2008
UCLA,1998
UCLA,2011
UCLA,2018
UCLA,1991
UCLA,1999
UCLA,1981
UCLA,1988
UCLA,2023
UCLA,1995
UCLA,2012
UCLA,2020
UCLA,2019
UCLA,1992
UCLA,1969
UCLA,1999
UCLA,1997
UCLA,2015
UCLA,1995
UCLA,2000
UCLA,2002
UCLA,1981
UCLA,2011
UCLA,1979
UCLA,2012
UCLA,2019
UCLA,2009
UCLA,1996
UCLA,1979
UCLA,1966
UCLA,1992
UCLA,1997
UCLA,1987
UCLA,1983
UCLA,2002
UCLA,2007
UCLA,1992
UCLA,2016
UCLA,2019
UCLA,2015
UCLA,2006
UCLA,2007
UCLA,2013
UCLA,2009
UCLA,1999
UCLA,1997
UCLA,1996
UCLA,1989
UCLA,1997
UCLA,2006
UCLA,2017
UCLA,2008
UCLA,1992
UCLA,2009
UCSD,2004
UCSD,2004
UCSD,2006
UCSD,2000
UCSD,1986
UCSD,2014
UCSD,2018
UCSD,2021
UCSD,2003
UCSD,1994
UCSD,1981
UCSD,2021
UCSD,2006
UCSD,2019
UCSD,1985
UCSD,1993
UCSD,2007
UCSD,1991
UCSD,2011
UCSD,2000
UCSD,2005
UCSD,1998
UCSD,2004
UCSD,1996
UCSD,2020
UCSD,2016
UCSD,1991
UCSD,1989
UCSD,2020
UCSD,2006
UCSD,2010
UCSD,2005
UCSD,2020
UCSD,2021
UCSD,1990
UCSD,2014
UCSD,1996
UCSD,1981
UCSD,2008
UCSD,1994
UCSD,2002
UCSD,2010
UCSD,2012
UCSD,2001
UCSD,2015
UCSD,2006
UCSD,2015
UCSD,2011
UCSD,1995
UCSD,2017
UCSD,2002
UCSD,2018
UCSD,2012
UCSD,2021
UCSD,1985
UCSD,2015
UCSD,1996
UCSD,2017
UCSD,2013
UCSD,2003
UCSD,2022
CU,2018
CU,2013
CU,2004
CU,1996
CU,2008
CU,2010
CU,1997
CU,2008
CU,2010
CU,1997
CU,1989
CU,1999
CU,1985
CU,1995
CU,2000
CU,1988
CU,1976
CU,2017
CU,2004
CU,2011
CU,2018
CU,1982
CU,1995
CU,1988
CU,2008
CU,2004
CU,2008
UF,1978
UF,1987
UF,1997
UF,2003
UF,1981
UF,1983
UF,1986
UF,1974
UF,2002
UF,1996
UF,1998
UF,1987
UF,1997
UF,1985
UF,2007
UF,1988
UF,1986
UF,1982
UF,2006
UF,1981
UF,1995
UF,2013
UF,2011
UF,1983
UF,2014
UF,2014
UF,1987
UF,2011
UF,2012
UF,2013
UF,2013
UF,2014
UF,2013
UF,2001
UF,2016
UF,2013
UF,2018
UF,2019
UF,2014
UF,2018
UF,2014
UIUC,1996
UIUC,2005
UIUC,2001
UIUC,1987
UIUC,2013
UIUC,1994
UIUC,2021
UIUC,2019
UIUC,2016
UIUC,2020
UIUC,2001
UIUC,2010
UIUC,1989
UIUC,2011
UIUC,1999
UIUC,1981
UIUC,2001
UIUC,2015
UIUC,1994
UIUC,1969
UIUC,2006
UIUC,1980
UIUC,2003
UIUC,2018
UIUC,2006
UIUC,2015
UIUC,2021
UIUC,2021
UIUC,1991
UIUC,1980
UIUC,2000
UIUC,2007
UIUC,2002
UIUC,1978
UIUC,1983
UIUC,1993
UIUC,2017
UIUC,1989
UIUC,2001
UIUC,2019
UIUC,1994
UIUC,1990
UIUC,2019
UIUC,1998
UIUC,1980
UIUC,1999
UIUC,2011
UIUC,2019
UIUC,2004
UIUC,2003
UIUC,2009
UIUC,1996
UIUC,1993
UIUC,1991
UIUC,2011
UIUC,2016
UIUC,1993
UIUC,1980
UIUC,1999
UIUC,2004
UIUC,2020
UIUC,2003
UIUC,2016
UIUC,2021
UIUC,1995
UIUC,1996
UIUC,2013
UIUC,2000
UIowa,1994
UIowa,2009
UIowa,2003
UIowa,1998
UIowa,1995
UIowa,1966
UIowa,2009
UIowa,1978
UIowa,1991
UIowa,1973
UIowa,2006
UIowa,1992
UIowa,1990
UIowa,1989
UIowa,1986
UIowa,2015
UIowa,2009
UIowa,2005
UIowa,1997
UIowa,2001
UIowa,2012
UIowa,2003
UIowa,2013
UIowa,2018
KU,1996
KU,1983
KU,2010
KU,2006
KU,1967
KU,1996
KU,2011
KU,2017
KU,1989
KU,2007
KU,2009
KU,1982
KU,1981
KU,1997
KU,2014
KU,1985
KU,2012
KU,2002
KU,2001
KU,2018
KU,1978
KU,2008
KU,2012
KU,2005
KU,2006
KU,1991
KU,2011
KU,2011
KU,1991
KU,2021
UMN,1979
UMN,2013
UMN,2010
UMN,2005
UMN,1988
UMN,2003
UMN,2014
UMN,1980
UMN,2012
UMN,2012
UMN,2018
UMN,1996
UMN,1986
UMN,1978
UMN,1999
UMN,2016
UMN,2009
UMN,2008
UMN,1977
UMN,2021
UMN,2019
UMN,1972
UMN,2006
UMN,1994
UMN,2013
UMN,1995
UMN,2015
UMN,2008
UMN,2004
UMN,2000
UMN,2015
UMN,1996
UMN,2017
UMN,1984
UMN,1977
UMN,2005
UMN,1969
UMN,1998
UMN,1980
UMN,2007
UMN,2000
UMN,1969
UMN,1976
UMN,1968
UMN,1987
UMN,2006
UMN,1980
UMN,1988
UMN,2019
UMN,2007
UMN,1990
UMN,2005
UMN,1994
UMN,2021
UMN,2010
UMN,2001
UMN,1988
UMN,1994
UMN,2012
UMN,1979
UMN,2017
UMN,2018
UMN,2007
UMN,2022
UMN,2004
UMN,1986
USF,1993
USF,1983
USF,2016
USF,2020
USF,2000
USF,1994
USF,1972
USF,2007
USF,2009
USF,1990
USF,1986
USF,2015
USF,2024
USF,2013
USF,1999
USF,1999
USF,2019
USF,1983
USF,1987
USF,2013
USF,1999
USF,2020
USF,2010
USF,1999
USF,1996
USF,1987
USF,1996
USF,2022
USF,2022
USF,1990
USF,2018
USF,2009
USF,1980
USF,2001
USF,2004
USF,1968
USF,2007
Utah,1989
Utah,1984
Utah,2002
Utah,1998
Utah,1988
Utah,2002
Utah,2007
Utah,1982
Utah,1984
Utah,1998
Utah,1982
Utah,1998
Utah,1972
Utah,1989
Utah,1991
Utah,1973
Utah,1985
Utah,2009
Utah,2003
Utah,1988
Utah,2006
Utah,2010
Utah,1998
Utah,1998
Utah,1980
Utah,2006
Utah,2014
Utah,2008
Utah,2018
Utah,2013
Utah,2016
Utah,2003
Utah,1989
Utah,2010
Utah,2015
Utah,2017
Utah,2011
Utah,2011
Utah,2019
Utah,2021
Utah,2018
Utah,2018
Utah,2010
Utah,2016
UW,1974
UW,1995
UW,2004
UW,1987
UW,1999
UW,2006
UW,1991
UW,1991
UW,2002
UW,1991
UW,1989
UW,2013
UW,1989
UW,2013
UW,1992
UW,1976
UW,2010
UW,1998
UW,1991
UW,2008
UW,2006
UW,1994
UW,1978
UW,1984
UW,1992
UW,1983
UW,1996
UW,2010
UW,2011
UW,2015
UW,2017
UW,2020
UW,2021
UW,2019
UW,2019
UW,2018
UW,2017
MU,1982
MU,1985
MU,1985
MU,1986
MU,1988
MU,1989
MU,1989
MU,1990
MU,1990
MU,1990
MU,1990
MU,1991
MU,1993
MU,1993
MU,1993
MU,1994
MU,1997
MU,2005
MU,2010
MU,2010
MU,2012
MU,2018
MU,2019
MU,2019
MU,2021
MU,2021